ID,parent,child,nx,ny
1111000000,서울특별시,종로구,60,127
2611000000,부산광역시,중구,97,74
2711000000,대구광역시,중구,89,90
2811000000,인천광역시,중구,54,125
2911000000,광주광역시,동구,60,74
3011000000,대전광역시,동구,68,100
3111000000,울산광역시,중구,102,84
3600000000,세종특별자치시,,66,103
4183000000,경기도,양평군,69,125
4376000000,충청북도,괴산군,74,111
5181000000,강원특별자치도,인제군,80,138
4717000000,경상북도,안동시,91,106
4872000000,경상남도,의령군,83,78
4481000000,충청남도,예산군,58,107
4679000000,전라남도,화순군,61,72
5011000000,제주특별자치도,제주시,53,38
4794033000,경상북도,울릉군,144,123
4575000000,전라북도,임실군,66,84
